504,303,642,576
774,309,903,567
1002,315,1149,585
1248,312,1398,564
1479,309,1611,558
1725,312,1863,576
2169,324,2316,588
2421,300,2538,582
2640,324,2760,597
2889,285,2994,594
3129,279,3231,528
3342,255,3447,522
3570,261,3702,540
3807,267,3924,579
51,612,213,954
366,642,501,933
642,642,783,891
912,645,1083,909
1176,639,1344,936
1419,633,1617,972
1680,630,1878,924
2205,648,2406,939
2499,657,2646,990
2769,651,2904,951
3027,648,3165,933
3300,648,3477,966
3597,636,3693,834
3816,633,3921,930
30,1578,174,1914
294,1602,480,2211
705,1617,903,2223
1077,1626,1260,2253
1383,1722,1611,2232
2439,1761,2769,2223
2907,1662,3096,2250
3282,1638,3453,2244
3663,1635,3816,2244
3882,1536,4053,1863
